,BROADWAY/W 170 ST,W 135 ST/RIVERSIDE DR,BROADWAY/W 143 ST,W 135 ST/BROADWAY,AV OF THE AMERICAS/W 42 ST,BROADWAY/W 141 ST,5 AV/W 46 ST,RIVERSIDE DR/TIEMANN PL,BROADWAY/W 63 ST,BROADWAY/W 65 ST,BROADWAY/W 164 ST,BROADWAY/W 151 ST,BROADWAY/W 153 ST,BROADWAY/W 64 ST,COLUMBUS CIR/8 AV,BROADWAY/W 178 ST,BROADWAY/W 147 ST,AV OF THE AMERICAS/W 34 ST,AV OF THE AMERICAS/W 54 ST,RIVERSIDE DR/W 122 ST,BROADWAY/W 149 ST,BROADWAY/W 163 ST,RIVERSIDE DR/W 97 ST,BROADWAY/W 175 ST,RIVERSIDE DR/W 100 ST,5 AV/W 35 ST,5 AV/W 33 ST,BROADWAY/W 145 ST,RIVERSIDE DR/W 82 ST,5 AV/W 56 ST,RIVERSIDE DR/W 91 ST,BROADWAY/W 137 ST,BROADWAY/W 167 ST,AV OF THE AMERICAS/W 40 ST,BROADWAY/W 174 ST,BROADWAY / W 135 ST,5 AV/W 50 ST,BROADWAY/W 139 ST,RIVERSIDE DR/W 73 ST,RIVERSIDE DR/W 116 ST,RIVERSIDE DR/W 89 ST,CENTRAL PK S/6 AV,BROADWAY/W 157 ST,BROADWAY/W 160 ST,BROADWAY/W 140 ST,RIVERSIDE DR/W 76 ST,W 72 ST/BROADWAY,W 72 ST/WEST END AV,W 31 ST/6 AV,BROADWAY/W 159 ST,BROADWAY/W 69 ST,BROADWAY/W 162 ST,5 AV/W 44 ST,BROADWAY/W 171 ST,RIVERSIDE DR/W 84 ST,BROADWAY/W 142 ST,BROADWAY/W 66 ST,RIVERSIDE DR/W 77 ST,RIVERSIDE DR/W 86 ST,BROADWAY/W 172 ST,5 AV/W 52 ST,RIVERSIDE DR/W 103 ST,BROADWAY/W 70 ST,RIVERSIDE DR/W 79 ST,BROADWAY/W 168 ST,RIVERSIDE DR/W 80 ST,AV OF THE AMERICAS/W 45 ST,RIVERSIDE DR/W 119 ST,BROADWAY/W 165 ST,BROADWAY/W 176 ST,6 AV/W 31 ST,BROADWAY/W 68 ST,BROADWAY/W 173 ST,BROADWAY/W 61 ST,BROADWAY/W 161 ST,AV OF THE AMERICAS/W 57 ST,BROADWAY/W 150 ST,RIVERSIDE DR/W 106 ST,RIVERSIDE DR/W 74 ST,W 178 ST/BROADWAY,RIVERSIDE DR/W 85 ST,5 AV/W 58 ST,RIVERSIDE DR/W 108 ST,RIVERSIDE DR/W 114 ST,RIVERSIDE DR/W 104 ST,RIVERSIDE DR/W 112 ST,AV OF THE AMERICAS/W 38 ST,CENTRAL PK S/AVE OF THE AMERICAS,AV OF THE AMERICAS/W 50 ST,RIVERSIDE DR/W 94 ST,5 AV/W 41 ST,BROADWAY/W 152 ST,AV OF THE AMERICAS/W 51 ST,CENTRAL PK S/COLUMBUS CI,RIVERSIDE DR/W 87 ST,BROADWAY/W 155 ST,5 AV/W 39 ST,AV OF THE AMERICAS/W 47 ST,BROADWAY/W 138 ST,CENTRAL PK S/7 AV,Michael J. Quill Depot (MQ)
RIVERSIDE DR/W 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.641 WASHINGTON HEIGHTS GW BRIDGE,,1.028 31 ST 6 AV,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 74 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 178 ST/BROADWAY,,,,,,,,,,,,,,,,0.0 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 85 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 WASHINGTON HEIGHTS GW BRIDGE,,,,,,
5 AV/W 58 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.199 31 ST 6 AV,,,,,,,,0.346 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,
RIVERSIDE DR/W 114 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 31 ST 6 AV,,,,,,,,,,,,,,,
RIVERSIDE DR/W 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,2.634 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE DR/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.017 31 ST 6 AV,0.346 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 38 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/AVE OF THE AMERICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.102 31 ST 6 AV,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,
RIVERSIDE DR/W 94 ST,,,,,,,,,,,,,,,,,,,,,,,0.251 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,0.844 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106 31 ST 6 AV,,,,
BROADWAY/W 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 51 ST,,,,,,,,,,,,,,,,,,,0.274 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/COLUMBUS CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,0.692 31 ST 6 AV,,,,,,,,,,,,,
RIVERSIDE DR/W 87 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 155 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 31 ST 6 AV,,,,,,,,,
5 AV/W 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.054 to depot of M5
AV OF THE AMERICAS/W 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,,,,,,
BROADWAY/W 138 ST,,,,0.638 31 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602 WASHINGTON HEIGHTS GW BRIDGE,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.771 31 ST 6 AV,,,,
