stops,latitude,longtitude
PITKIN AV/THOMAS S BOYLAND ST,(40.6692495, -73.9135787)
MOTHER GASTON BL/PITKIN AV,(40.6702473, -73.9070502)
POWELL ST/DUMONT AV,(40.6650647, -73.9028124)
POWELL ST/BLAKE AV,(40.6665995, -73.9032007)
SUTTER AV/POWELL ST,(40.668133, -73.90310699999999)
SUTTER AV/WILLIAMS AV,(40.668823, -73.898468)
SUTTER AV/GEORGIA AV,(40.669086, -73.89668999999999)
SUTTER AV/WYONA ST,(40.6697915, -73.8924047)
SUTTER AV/MILLER AV,(40.67005899999999, -73.890152)
SUTTER AV/HENDRIX ST,(40.670326, -73.888397)
SUTTER AV/BARBEY ST,(40.6706052, -73.8869668)
SUTTER AV/WARWICK ST,(40.6708686, -73.8852009)
SUTTER AV/CLEVELAND ST,(40.6711009, -73.88356999999999)
SUTTER AV/LINWOOD ST,(40.6713452, -73.88193559999999)
SUTTER AV/SHEPHERD AV,(40.6716, -73.879791)
SUTTER AV/ATKINS AV,(40.671852, -73.87795299999999)
SUTTER AV/MILFORD ST,(40.67212749999999, -73.8764771)
SUTTER AV/LINCOLN AV,(40.6735414, -73.8666726)
SUTTER AV/GRANT AV,(40.673794, -73.864502)
DREW ST/SUTTER AV,(40.6742149, -73.8620672)
DREW ST/DUMONT AV,(40.6711481, -73.86130910000001)
DREW ST/LINDEN BL,(40.66925, -73.86093900000002)
LORING AV/DREW ST,(40.668064, -73.86097)
JFK AIRPORT/TERMINAL 5 AirTrain STATION,(40.6474925, -73.7799744)
N VAN WYCK SERVICE RD/STOP 11 BLDG 23,(40.650146, -73.804039)
N VAN WYCK SERVICE RD/STOP 13 BLDG 21,(40.652931, -73.805923)
N VAN WYCK SERVICE RD/STOP 15 BLDG 122,(40.654709, -73.806686)
N VAN WYCK SERVICE RD/STOP 17 AMERICAN FREIGHT,(40.657513, -73.80539700000001)
130 PL/BERGEN RD,(40.659718, -73.810677)
LEFFERTS BLVD/AIRTRAIN STA,(40.662254, -73.82359300000002)
LINDEN BL/79 ST,(40.670593, -73.85614799999999)
DREW ST/LINDEN BLVD,(40.6695625, -73.86091789999999)
LINDEN BL/EMERALD ST,(40.670139, -73.85952)
LINDEN BL/DREW ST,(40.669868, -73.861435)
FOUNTAIN AV/LINDEN BL,(40.6666455, -73.871915)
FOUNTAIN AV/HEGEMAN AV,(40.667837, -73.87269599999999)
DUMONT AV/FOUNTAIN AV,(40.6693364, -73.8738173)
DUMONT AV/MILFORD ST,(40.9438384, -74.01021709999999)
NEW LOTS AV/BERRIMAN ST,(40.6682461, -73.8783882)
NEW LOTS AV/LINWOOD ST,(40.66717329999999, -73.88085459999999)
NEW LOTS AV/ASHFORD ST,(40.6661167, -73.88329580000001)
NEW LOTS AV/BARBEY ST,(40.6651441, -73.8855773)
NEW LOTS AV/HENDRIX ST,(40.6644163, -73.8872545)
NEW LOTS AV/MILLER AV,(40.66378, -73.888832)
NEW LOTS AV/WYONA ST,(40.662942, -73.89064379999999)
NEW LOTS AV/PENNSYLVANIA AV,(40.6618262, -73.89309659999999)
NEW LOTS AV/SHEFFIELD AV,(40.66148580000001, -73.893879)
NEW LOTS AV/WILLIAMS AV,(40.66029, -73.896652)
NEW LOTS AV/VAN SINDEREN AV,(40.65902699999999, -73.89954399999999)
NEW LOTS AV/POWELL ST,(40.658319, -73.90103930000001)
NEW LOTS AV/CHRISTOPHER AV,(40.6575557, -73.9027551)
HEGEMAN AV/WATKINS ST,(40.656666, -73.904999)
HEGEMAN AV/THATFORD AV,(40.6564189, -73.9063729)
HEGEMAN AV/CHESTER AV,(40.656216, -73.90814999999999)
HEGEMAN AV/THOMAS S BOYLAND ST,(40.6558645, -73.9101276)
E 98 ST/HEGEMAN AV,(40.6555052, -73.912362)
E 98 ST/LOTT AV,(40.6570122, -73.91402719999999)
E 98 ST/LEGION ST,(40.6585476, -73.91573869999999)
E 98 ST/RIVERDALE AV,(40.6597661, -73.9171009)
E 98 ST/LIVONIA AV,(40.6611264, -73.9186093)
E 98 ST/DUMONT AV,(40.6624943, -73.9201106)
E 98 ST/BLAKE AV,(40.663864, -73.92163889999999)
RALPH AV/SUTTER AV,(40.665688, -73.92231799999999)
RALPH AV/EAST NEW YORK AV,(40.6671122, -73.9227684)
RALPH AV/ST JOHNS PL,(40.670197, -73.922539)
BUFFALO AV/ST JOHNS PL,(40.6703267, -73.9254045)
BUFFALO AV/PROSPECT PL,(40.6729516, -73.9251671)
BUFFALO AV/ST MARKS AV,(40.673763, -73.924568)
BERGEN ST/BUFFALO AV,(40.6747424, -73.9249948)
BERGEN ST/ROCHESTER AV,(40.674931, -73.927628)
BERGEN ST/UTICA AV,(40.675083, -73.93038899999999)
BERGEN ST/SCHENECTADY AV,(40.67519, -73.9333114)
BERGEN ST/TROY AV,(40.6753382, -73.936078)
TROY AV/DEAN ST,(40.676449, -73.93589)
TROY AV/ATLANTIC AV,(40.67762, -73.9358577)
TROY AV/FULTON ST,(40.6795818, -73.93488669999999)
LEWIS AV/BAINBRIDGE ST,(40.6805795, -73.9345726)
LEWIS AV/MAC DONOUGH ST,(40.68203219999999, -73.9348637)
LEWIS AV/HALSEY ST,(40.683399, -73.935074)
LEWIS AV/JEFFERSON AV,(40.68536, -73.93545499999999)
LEWIS AV/MADISON ST,(40.686428, -73.93573599999999)
LEWIS AV/GATES AV,(40.68821, -73.93602000000001)
LEWIS AV/GREENE AV,(40.690418, -73.93646199999999)
LEWIS AV/LAFAYETTE AV,(40.6915487, -73.9367547)
LEWIS AV/DEKALB AV,(40.693021, -73.937049)
LEWIS AV/PULASKI ST,(40.694046, -73.937187)
LEWIS AV/WILLOUGHBY AV,(40.695499, -73.937469)
LEWIS AV/MYRTLE AV,(40.6966952, -73.93776199999999)
LEWIS AV/BROADWAY,(40.698456, -73.938103)
BROADWAY/PARK ST,(40.6993333, -73.9392817)
MARCUS GARVEY BL/BROADWAY,(40.6994574, -73.9414596)
MARCUS GARVEY BL/PARK AV,(40.6981995, -73.9411957)
MARCUS GARVEY BL/MYRTLE AV,(40.696354, -73.94069449999999)
MARCUS GARVEY BL/WILLOUGHBY AV,(40.6945908, -73.9404409)
MARCUS GARVEY BL/PULASKI ST,(40.6934146, -73.9401069)
MARCUS GARVEY BL/DE KALB AV,(40.6994574, -73.9414596)
MARCUS GARVEY BL/LAFAYETTE AV,(40.69104799999999, -73.9394875)
MARCUS GARVEY BL/LEXINGTON AV,(40.6994574, -73.9414596)
MARCUS GARVEY BL/GATES AV,(40.6875618, -73.9389514)
MARCUS GARVEY BL/MADISON ST,(40.6857648, -73.938689)
MARCUS GARVEY BL/JEFFERSON AV,(40.6994574, -73.9414596)
MARCUS GARVEY BL/HALSEY ST,(40.6832793, -73.938195)
MARCUS GARVEY BL/MAC DONOUGH ST,(40.681694, -73.937788)
MARCUS GARVEY BL/FULTON ST,(40.6797286, -73.9373979)
ALBANY AV/FULTON ST,(40.679784, -73.9384401)
ALBANY AV/ATLANTIC AV,(40.6779342, -73.9386043)
DEAN ST/ALBANY AV,(40.6762752, -73.9387663)
DEAN ST/TROY AV,(40.6761153, -73.9359996)
DEAN ST/SCHENECTADY AV,(42.8164407, -73.8996313)
DEAN ST/UTICA AV,(40.6758151, -73.93045529999999)
DEAN ST/ROCHESTER AV,(40.6756654, -73.92769229999999)
ROCHESTER AV/BERGEN ST,(40.6748894, -73.9277635)
ST MARKS AV/ROCHESTER AV,(40.6739944, -73.92786559999999)
BUFFALO AV/PARK PL,(40.67206, -73.9252503)
ST JOHNS PL/BUFFALO AV,(42.899899, -78.879358)
ST JOHNS PL/RALPH AV,(40.670197, -73.922539)
RALPH AV/EASTERN PKWY N,(40.6681339, -73.9226726)
E 98 ST/WINTHROP ST,(40.6633347, -73.9210461)
E 98 ST/CLARKSON AV,(40.6547886, -73.9565121)
E 98 ST/LENOX RD,(40.6600688, -73.9174218)
E 98 ST/WILLMOHR ST,(40.6584266, -73.9155917)
E 98 ST/CHURCH AV,(40.6567902, -73.9137787)
HEGEMAN AV/BRISTOL ST,(40.656004, -73.90917929999999)
HEGEMAN AV/ROCKAWAY AV,(40.656281, -73.90686)
HEGEMAN AV/OSBORN ST,(40.6565513, -73.9054555)
NEW LOTS AV/MOTHER GASTON BL,(40.6571394, -73.9036497)
NEW LOTS AV/SACKMAN ST,(40.6579301, -73.9019015)
NEW LOTS AV/HINSDALE ST,(40.6598256, -73.8975875)
NEW LOTS AV/MALTA ST,(40.6603979, -73.8962979)
NEW LOTS AV/GEORGIA AV,(40.6609839, -73.894981)
NEW LOTS AV/VERMONT ST,(40.6625558, -73.891448)
NEW LOTS AV/BRADFORD ST,(40.6633153, -73.8897794)
NEW LOTS AV/SCHENCK AV,(40.66477880000001, -73.8864145)
NEW LOTS AV/JEROME ST,(40.6654022, -73.8849456)
NEW LOTS AV/ELTON ST,(40.66680909999999, -73.8816752)
NEW LOTS AV/ESSEX ST,(40.6675254, -73.8800487)
DUMONT AV/MONTAUK AV,(40.668917, -73.8767412)
LINDEN BL SRVC RD/FOUNTAIN AV,(40.666622, -73.87159)
HIP CTR PARKING LOT,(40.6697171, -73.85952089999999)
LINDEN BL/78TH ST,(40.670097, -73.856544)
130 PL/ BERGEN RD STOP 22,(40.658432, -73.810867)
130 PL/HANGAR RD STOP20A,(40.657173, -73.810631)
130 PL/E HANGAR RD STOP18,(40.654697, -73.80927299999999)
S VAN WYCK SERVICE RD/BLDG 14,(40.652512, -73.806961)
S VAN WYCK SERVICE RD/BLDG 23,(40.649498, -73.80483199999999)
S VAN WYCK SERVICE RD/BLDG 90,(40.644791, -73.799545)
LINCOLN RD/FLATBUSH AV,(40.6609043, -73.96087589999999)
OCEAN AV/LINCOLN RD,(40.660511, -73.962818)
OCEAN AV/OPP 231 OCEAN AV,(40.657391, -73.962402)
OCEAN AV/PARKSIDE AV,(40.6548215, -73.9618915)
OCEAN AV/CATON AV,(40.6525, -73.96137999999999)
CATON AV/ST PAULS PL,(40.65153129999999, -73.96303069999999)
CATON AV/PARADE PL,(40.6508852, -73.9646722)
CATON AV/ARGYLE RD,(40.6496021, -73.9679311)
CATON AV/CONEY ISLAND AV,(40.6482912, -73.9714786)
CATON AV/OCEAN PY,(40.647795, -73.97496799999999)
CATON AV/E 5 ST,(40.647751, -73.97673)
CATON AV/E 3 ST,(40.647564, -73.978554)
CATON AV/MC DONALD AV,(40.6473058, -73.9802938)
DAHILL RD/12 AV,(40.645851, -73.981163)
12 AV/CHESTER AV,(40.644382, -73.984749)
37 ST/12 AV,(40.642845, -73.987053)
37 ST/13 AV,(40.62814849999999, -73.99927559999999)
13 AV/39 ST,(40.6404, -73.986626)
13 AV/41 ST,(40.639309, -73.98777)
13 AV/43 ST,(40.6383933, -73.9886245)
13 AV/45 ST,(40.637074, -73.99009699999999)
13 AV/47 ST,(40.63614949999999, -73.990943)
13 AV/49 ST,(40.634861, -73.99239299999999)
13 AV/50 ST,(40.634174, -73.99231)
13 AV/52 ST,(40.6333514, -73.9938609)
13 AV/54 ST,(40.632347, -73.99501)
13 AV/56 ST,(40.631142, -73.996353)
57 ST/12 AV,(40.632092, -73.999245)
57 ST/11 AV,(40.7700695, -73.9910697)
57 ST/FT HAMILTON PY,(40.63449500000001, -74.00322)
FT HAMILTON PY/58 ST,(40.630104, -74.0100135)
FT HAMILTON PY/60 ST,(40.633101, -74.0055904)
FT HAMILTON PY/62 ST,(40.632242, -74.0068205)
FT HAMILTON PY/64 ST,(40.6312045, -74.00835049999999)
FT HAMILTON PY/66 ST,(40.630104, -74.0100135)
FT HAMILTON PY/BAY RIDGE AV,(40.6286715, -74.01212699999999)
FT HAMILTON PY/70 ST,(40.630104, -74.0100135)
FT HAMILTON PY/73 ST,(40.626892, -74.014961)
FT HAMILTON PY/BAY RIDGE PY,(40.625826, -74.0164985)
FT HAMILTON PY/7 AV,(40.6268215, -74.0182305)
7 AV SVC RD S/79 ST,(40.624023, -74.020393)
FT HAMILTON PY/83 ST,(40.621784, -74.022457)
86 ST/3 AV,(40.7788226, -73.9539909)
86 ST/RIDGE BL,(40.62409600000001, -74.0337485)
86 ST/COLONIAL RD,(40.6247465, -74.036484)
86 ST/NARROWS AV,(40.6253868, -74.03912179999999)
SHORE RD/88 ST,(40.624294, -74.04087799999999)
SHORE RD/NARROWS AV,(40.6227247, -74.0403836)
SHORE RD/91 ST,(40.622005, -74.040077)
SHORE RD/OLIVER ST,(40.618874, -74.039909)
SHORE RD/RIDGE BL,(40.6172235, -74.038799)
SHORE RD/97 ST,(40.614979, -74.037689)
SHORE RD/99 ST,(40.61382649999999, -74.0370715)
3 AV/SHORE RD,(40.612762, -74.03605700000001)
MARINE AV/4 AV,(40.614126, -74.032585)
4 AV/99 ST,(40.61351, -74.033119)
4 AV/100 ST,(40.612915, -74.03345500000002)
SHORE RD/4 AV,(40.611763, -74.03512599999999)
SHORE RD/3 AV,(40.612312, -74.03598)
NARROWS AV/89 ST,(40.6232724, -74.03996939999999)
NARROWS AV/86 ST,(40.6253868, -74.03912179999999)
FT HAMILTON PY/86 ST,(40.60934659999999, -74.0060919)
FT HAMILTON PY/81 ST,(40.6094454, -74.02854339999999)
7 AV/79 ST,(40.623413, -74.019066)
FT HAMILTON PY/77 ST,(40.6094454, -74.02854339999999)
FT HAMILTON PY/74 ST,(40.6312045, -74.00835049999999)
FT HAMILTON PY/72 ST,(40.627392, -74.013924)
FT HAMILTON PY/68 ST,(40.630104, -74.0100135)
FT HAMILTON PY/59 ST,(40.630104, -74.0100135)
56 ST/FT HAMILTON PY,(40.63475400000001, -74.002335)
56 ST/11 AV,(40.63354100000001, -74.00032)
56 ST/12 AV,(40.632198, -73.998116)
56 ST/13 AV,(40.6311107, -73.9962023)
56 ST/NEW UTRECHT AV,(40.6308179, -73.99569389999999)
14 AV/56 ST,(40.629955, -73.993706)
14 AV/53 ST,(40.63164099999999, -73.99194299999999)
14 AV/50 ST,(40.633331, -73.990189)
14 AV/47 ST,(40.635006, -73.988441)
14 AV/44 ST,(33.7294766, -116.2179455)
14 AV/41 ST,(40.638371, -73.98494699999999)
14 AV/39 ST,(40.639484, -73.98378)
36 ST/CHURCH AV,(40.64135539999999, -73.9829091)
36 ST/CLARA ST,(40.642803, -73.985374)
36 ST/12 AV,(40.643497, -73.986519)
12 AV/DAHILL RD,(40.645851, -73.981163)
CATON AV/E 4 ST,(40.647602, -73.976883)
CATON AV/E 8 ST,(40.647732, -73.972588)
CATON AV/WESTMINSTER,(40.649247, -73.9688176)
CATON AV/RUGBY RD,(40.6499488, -73.9670518)
CATON AV/E 16 ST,(40.650638, -73.9652905)
OCEAN AV/231 OCEAN AVENUE,(40.657322, -73.96219599999999)
FLATBUSH AV/OCEAN AV,(40.6630882, -73.962319)
UTICA AV/CARROLL ST,(40.6661285, -73.93139649999999)
UTICA AV/EMPIRE BL,(40.663715, -73.93171699999999)
REMSEN AV/E 51 ST,(40.6622343, -73.9304873)
REMSEN AV/RUTLAND RD,(40.66095809999999, -73.9290587)
REMSEN AV/E 54 ST,(40.658897, -73.92692600000001)
REMSEN AV/E 56 ST,(40.65750020000001, -73.9252063)
REMSEN AV/LENOX ROAD,(40.6558527, -73.9233814)
REMSEN AV/KINGS HY,(40.6546551, -73.9220306)
REMSEN AV/CHURCH AV,(40.6528106, -73.9199751)
REMSEN AV/AV A,(40.650864, -73.917946)
REMSEN AV/AV B,(40.649807, -73.916504)
REMSEN AV/DITMAS AV,(40.6481144, -73.9147483)
REMSEN AV/AV D,(40.6462698, -73.9126817)
REMSEN AV/FOSTER AV,(40.6449001, -73.9111542)
REMSEN AV/FARRAGUT RD,(40.6432197, -73.90928339999999)
GLENWOOD RD/REMSEN AV,(40.6417035, -73.907691)
GLENWOOD RD/E 94 ST,(40.6435924, -73.904704)
GLENWOOD RD/EAST 96 ST,(40.644855, -73.902641)
FLATLANDS AV/ROCKAWAY PY,(40.6435047, -73.901134)
FLATLANDS AV/E 94 ST,(40.6421493, -73.90309839999999)
REMSEN AV/GLENWOOD RD,(40.6417035, -73.907691)
FLATLANDS AV/E 92 ST,(40.6411404, -73.9046582)
REMSEN AV/FLATLANDS AV,(40.6402311, -73.9058944)
REMSEN AV/AV J,(40.638586, -73.9041445)
REMSEN AV/AV K,(40.636798, -73.9022332)
REMSEN AV/AV L,(40.635609, -73.900665)
REMSEN AV/AV M,(40.633965, -73.898827)
REMSEN AV/AV N,(40.6320221, -73.8969204)
AV L/REMSEN AV,(40.6353095, -73.900639)
REMSEN AV/SEAVIEW AV,(40.6303872, -73.8950985)
SEAVIEW AV/E 91 ST,(40.6309146, -73.8942776)
AV L/E 86 ST,(40.63332399999999, -73.90370899999999)
SEAVIEW AV/E 93 ST,(40.6317831, -73.89272129999999)
SEAVIEW AV/E 95 ST,(40.632648, -73.89170100000001)
AV L/E 82 ST,(40.631653, -73.906296)
SEAVIEW AV/ROCKAWAY PY,(40.633856, -73.8893599)
E 80 ST/PAERDEGAT 7 ST,(40.6308364, -73.90735149999999)
SEAVIEW AV/E 99 ST,(40.634937, -73.88765)
E 80 ST/PAERDEGAT 10 ST,(40.62970929999999, -73.9048506)
SEAVIEW AV/E 102 ST,(40.636156, -73.8859232)
E 80 ST/PAERDEGAT 13 ST,(40.62857839999999, -73.9023316)
SEAVIEW AV/E 104 ST,(40.6377763, -73.8833923)
E 80 ST/PAERDEGAT 15 ST,(40.6278692, -73.900752)
SEAVIEW AV/E 108 ST,(40.6391152, -73.8816527)
SEAVIEW AV/E 105 ST,(40.6376215, -73.8836589)
SEAVIEW AV/EAST 100 ST,(40.6352667, -73.8873098)
E 80 ST/AV N,(36.2681749, -95.84321729999999)
E 80 ST/AV M,(40.629921, -73.905075)
SEAVIEW AV/REMSEN AV,(40.6303872, -73.8950985)
AV L/E 83 ST,(40.7767908, -73.95586560000001)
AV L/E 85 ST,(40.633102, -73.903786)
AV L/E 87 ST,(40.634041, -73.902328)
REMSEN AV/LINDEN BL,(40.6542856, -73.9216207)
REMSEN AV/LENOX RD,(40.6558527, -73.9233814)
REMSEN AV/CLARKSON AV,(40.6576951, -73.9254144)
REMSEN AV/WINTHROP ST,(40.6593226, -73.927255)
EAST NEW YORK AV/UTICA AV,(40.6627531, -73.9316267)
EAST NEW YORK AV/SCHENECTADY AV,(40.6625789, -73.9344782)
TROY AV/EMPIRE BL,(40.664097, -73.937057)
TROY AV/MONTGOMERY ST,(40.6646598, -73.9370852)
TROY AV/CARROLL ST,(40.666672, -73.936813)
TROY AV/EASTERN PY,(40.668755, -73.936615)
E 16 ST/QUENTIN RD,(40.6080029, -73.9572673)
E 16 ST/AV R,(40.6059005, -73.9567957)
AV R/E 18 ST,(40.6061126, -73.9548629)
AV R/OCEAN AV,(40.606353, -73.95279099999999)
AV R/E 23 ST,(40.606579, -73.949944)
AV R/BEDFORD AV,(40.6068721, -73.94795710000001)
AV R/E 27 ST,(40.606998, -73.946182)
AV R/NOSTRAND AV,(40.6073848, -73.943209)
AV R/GERRITSEN AV,(40.6079485, -73.94196699999999)
AV R/STUART ST,(40.60865, -73.941582)
AV R/MADISON PL,(40.609577, -73.94015499999999)
AV R/E 31 ST,(40.610569, -73.93862200000001)
AV R/E 33 ST,(40.61149200000001, -73.937187)
AV R/E 35 ST,(40.612411, -73.935768)
AV R/E 36 ST,(40.612957, -73.934822)
E 36 ST/FILLMORE AV,(40.6113857, -73.9331705)
E 36 ST/AV S,(44.9377338, -93.2414378)
AV S/RYDER ST,(40.6111601, -73.9291836)
AV S/COLEMAN ST,(33.2933045, -112.1225913)
AV S/FLATBUSH AV,(40.6459145, -73.9580258)
FLATBUSH AV/AV T,(40.6113917, -73.9244652)
FLATBUSH AV/AV U,(40.6098252, -73.9223129)
AV S/KIMBALL ST,(39.3386105, -94.23054619999999)
AV S/E 38 ST,(40.7483675, -73.9765992)
E 36 ST/AV R,(40.613024, -73.9349921)
AV R/E 34 ST,(40.612204, -73.93642179999999)
AV R/E 32 ST,(40.611252, -73.93783599999999)
AV R/MARINE PY,(40.61031699999999, -73.93927)
AV R/BURNETT ST,(40.609329, -73.940804)
AV R/E 28 ST,(40.607273, -73.945015)
AV R/E 22 ST,(40.606644, -73.950653)
QUENTIN RD/E 19 ST,(40.6086769, -73.9543857)
QUENTIN RD/E 16 ST,(40.6083667, -73.95725929999999)
LINDEN BL/LOGAN ST,(40.666277, -73.8727035)
LINDEN BL/ATKINS AV,(40.6652435, -73.8751295)
LINDEN BL/SHEPHERD AV,(40.664764, -73.87679299999999)
ASHFORD ST/LINDEN BL,(40.662357, -73.880608)
ASHFORD ST/STANLEY AV,(40.6611694, -73.87967689999999)
ASHFORD ST/WORTMAN AV,(40.659701, -73.878592)
WORTMAN AV/BARBEY ST,(40.6586689, -73.8810158)
WORTMAN AV/VAN SICLEN AV,(40.6575879, -73.8834813)
WORTMAN AV/VERMONT ST,(40.6561936, -73.8866958)
PENNSYLVANIA AV/WORTMAN AV,(40.6555304, -73.8882552)
PENNSYLVANIA AV/STANLEY AV,(40.6569915, -73.889431)
PENNSYLVANIA AV/LINDEN BL,(40.6587332, -73.89070199999999)
PENNSYLVANIA AV/HEGEMAN AV,(40.660225, -73.891815)
PENNSYLVANIA AV/NEW LOTS AV,(40.6618262, -73.89309659999999)
PENNSYLVANIA AV/RIVERDALE AV,(40.6632233, -73.89365480000001)
PENNSYLVANIA AV/LIVONIA AV,(40.66475690000001, -73.8940569)
PENNSYLVANIA AV/DUMONT AV,(40.6663, -73.89443729999999)
PENNSYLVANIA AV/BLAKE AV,(40.667839, -73.8948408)
PENNSYLVANIA AV/SUTTER AV,(40.6693817, -73.89523539999999)
PENNSYLVANIA AV/BELMONT AV,(40.670326, -73.89555399999999)
PENNSYLVANIA AV/PITKIN AV,(40.6719462, -73.8958867)
PENNSYLVANIA AV/LIBERTY AV,(40.6744022, -73.8965192)
JAMAICA AV/FANCHON PL,(40.6775289, -73.8988593)
JAMAICA AV/BROADWAY,(40.67709, -73.900375)
VAN SINDEREN AV/BROADWAY,(40.678883, -73.90334299999999)
BROADWAY/EASTERN PY,(40.680317, -73.90583)
BROADWAY/ABERDEEN ST,(40.681145, -73.907318)
BROADWAY/GRANITE ST,(40.6818485, -73.9086035)
BROADWAY/CHAUNCEY ST,(40.6826659, -73.9100416)
BROADWAY/COOPER ST,(40.683547, -73.91152199999999)
DECATUR ST/BUSHWICK AV,(40.685369, -73.910887)
DECATUR ST/EVERGREEN AV,(40.6868386, -73.9094476)
DECATUR ST/CENTRAL AV,(40.6883189, -73.90799129999999)
DECATUR ST/WILSON AV,(40.690006, -73.906258)
DECATUR ST/KNICKERBOCKER AV,(40.6912647, -73.90509329999999)
DECATUR ST/IRVING AV,(40.6928463, -73.90353879999999)
DECATUR ST/WYCKOFF AV,(40.694466, -73.901535)
DECATUR ST/CYPRESS AV,(40.696426, -73.899551)
DECATUR ST/SENECA AV,(40.697434, -73.898603)
DECATUR ST/FOREST AV,(39.8369197, -88.9796238)
DECATUR ST/MYRTLE AV,(40.70067299999999, -73.8960937)
PUTNAM AV/FAIRVIEW AV,(40.7046029, -73.90230249999999)
SUMMERFIELD ST/MYRTLE AV,(40.700617, -73.896721)
SUMMERFIELD ST/FOREST AV,(40.699234, -73.8980686)
SUMMERFIELD ST/SENECA AV,(40.6978948, -73.89938289999999)
SUMMERFIELD ST/CYPRESS AV,(40.6967633, -73.90051199999999)
SUMMERFIELD ST/WYCKOFF AV,(40.694693, -73.902513)
COVERT ST/WYCKOFF AV,(40.695274, -73.903504)
IRVING AV/COVERT ST,(40.693706, -73.905044)
SCHAEFER ST/KNICKERBOCKER AV,(40.691695, -73.9058517)
SCHAEFER ST/WILSON AV,(40.6902272, -73.9072915)
SCHAEFER ST/CENTRAL AV,(40.688745, -73.908742)
SCHAEFER ST/EVERGREEN AV,(40.687271, -73.910189)
SCHAEFER ST/BUSHWICK AV,(40.685796, -73.911637)
SCHAEFER ST/BROADWAY,(40.68449, -73.912987)
BROADWAY/ROCKAWAY AV,(40.683547, -73.91152199999999)
BROADWAY/HULL ST,(40.680317, -73.90583)
VAN SINDEREN AV/FULTON ST,(40.6778947, -73.90330019999999)
FULTON ST/SHEFFIELD AV,(40.6770663, -73.89821049999999)
PENNSYLVANIA AV/ATLANTIC AV,(40.67580419999999, -73.8968742)
WORTMAN AV/PENNSYLVANIA AV,(40.655651, -73.88787099999999)
WORTMAN AV/SCHENCK AV,(40.65831, -73.8818352)
WORTMAN AV/JEROME ST,(40.6590194, -73.8801982)
LINDEN BL/ESSEX ST,(40.66415, -73.877121)
WASHINGTON PL/LANE 6,(40.70909899999999, -73.95976999999999)
BROADWAY/MARCY AV,(40.7084091, -73.95791609999999)
RODNEY ST/S 5 ST,(40.70871349999999, -73.9560355)
RODNEY ST/S 3 ST,(40.7101691, -73.9552798)
RODNEY ST/GRAND ST,(40.711723, -73.954315)
RODNEY ST/AINSLIE ST,(40.7131183, -73.9534979)
METROPOLITAN AV/UNION AV,(40.714075, -73.9516455)
METROPOLITAN AV/LORIMER ST,(40.7139225, -73.9493905)
METROPOLITAN AV/LEONARD ST,(40.714216, -73.94771899999999)
METROPOLITAN AV/GRAHAM AV,(40.71446479999999, -73.9445399)
KINGSLAND AV/SKILLMAN AV,(40.7163731, -73.94011789999999)
KINGSLAND AV/WITHERS ST,(40.7177865, -73.9403387)
KINGSLAND AV/RICHARDSON ST,(40.719206, -73.940589)
KINGSLAND AV/LOMBARDY ST,(40.7216062, -73.94097479999999)
MEEKER AV/MORGAN AV,(40.7233744, -73.93933659999999)
CHERRY ST/VANDERVOORT AV,(40.723885, -73.937195)
QUEENS MIDTOWN EXP/48 ST,(40.7314916, -73.9192101)
48 ST/47 ST,(40.73917, -73.918373)
48 ST/BKLYN-QUEENS EXPWY,(40.7354553, -73.9183391)
48 ST/50 AV,(40.737255, -73.9179888)
48 ST/48 AV,(40.7391027, -73.9176201)
47 AV/48 ST,(40.741024, -73.917671)
47 ST/GREENPOINT AV,(40.7299665, -73.95870239999999)
GREENPOINT AV/44 ST,(40.7413662, -73.9209563)
GREENPOINT AV/42 ST,(40.7404422, -73.9230367)
GREENPOINT AV/40TH ST,(40.739528, -73.92512099999999)
GREENPOINT AV/39TH ST,(40.7385966, -73.9272388)
GREENPOINT AV/38TH ST,(40.738132, -73.928574)
GREENPOINT AV/HUNTERS PT AV,(40.7375404, -73.92996169999999)
GREENPOINT AV/GALE AV,(40.736353, -73.93266299999999)
GREENPOINT AV/BRADLEY AV,(40.735641, -73.934715)
GREENPOINT AV/STARR AV,(40.7349995, -73.93630859999999)
VAN DAM ST/REVIEW AV,(40.7343494, -73.9380698)
GREENPOINT AV/KINGSLAND AV,(40.7326497, -73.9427908)
GREENPOINT AV/N HENRY ST,(40.7320749, -73.94462159999999)
GREENPOINT AV/HUMBOLDT ST,(40.7314155, -73.94641469999999)
GREENPOINT AV/PROVOST ST,(40.7306761, -73.9492281)
GREENPOINT AV/MC GUINESS BL,(40.7304705, -73.9514044)
GREENPOINT AV/LEONARD ST,(40.7302793, -73.9534645)
GREENPOINT AV/MANHATTAN AV,(40.7301999, -73.954279)
GREENPOINT AV/FRANKLIN ST,(40.729883, -73.95759009999999)
WEST ST/KENT ST,(40.7304389, -73.95937169999999)
GREENPOINT AV/JEWEL ST,(40.7307137, -73.9487686)
GREENPOINT AV/REVIEW AV,(40.734432, -73.93751499999999)
GREENPOINT AV/BORDEN AV,(40.736717, -73.931618)
GREENPOINT AV/39 PL,(40.739143, -73.925812)
GREENPOINT AV/48 AV,(40.7398725, -73.9245215)
GREENPOINT AV/43 ST,(40.7408982, -73.921983)
GREENPOINT AV/46 ST,(40.7421856, -73.91890660000001)
GREENPOINT AV/47 ST,(40.7425086, -73.9178733)
